OBJECTID,REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,ANNUAL_COST,REPAIR_COST,YEAR,DATE_RANGE,REACTIVATION,MONTH,DAY,x,y
27,ODOT2011,LS_26,Oregon Department of Transportation,,SL002-0048-14LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 2-way traf;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:48.14;Frequency:every 5 yrs or less;,0,0,,,,,,-13561622.1863546,5731880.37770658
28,ODOT2011,LS_27,Oregon Department of Transportation,,SL002-0048-48LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:48.48;Frequency:every 5 yrs or less;,0,0,,,,,,-13560835.1871846,5731975.09797455
29,ODOT2011,LS_28,Oregon Department of Transportation,,SL002-0049-14BB1,Fountain Slide,0,0,0,0,,Landslide,,,0,0,,Road Impact:LS close >60mi det;Lanes Affected:4;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:49.38;Frequency:every 5 yrs or less;,0,0,,,,,,-13559350.9949798,5731892.8469161
30,ODOT2011,LS_29,Oregon Department of Transportation,,SL002-0049-76RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:49.76;Frequency:every yr;,251.08,303703,,,,,,-13558013.7796106,5731451.68742792
31,ODOT2011,LS_30,Oregon Department of Transportation,,SL002-0050-26RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:50.26;Frequency:every yr;,479.65,614945,,,,,,-13556922.6831234,5731115.19801842
32,ODOT2011,LS_31,Oregon Department of Transportation,,SL002-0052-27RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,," Hwy Name:Columbia River; Hwy Number:002;Mile Post:52.27;Frequency:every 5 yrs or less;site has bin wall and fence, no rocks on road",0,0,,,,,,-13552365.0111118,5731147.52850491
33,ODOT2011,LS_32,Oregon Department of Transportation,,SL002-0053-02RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:53.02;Frequency:every 5 yrs or less;original RHRS fatality site,0,0,,,,,,-13550719.52237,5730871.82053859
34,ODOT2011,LS_33,Oregon Department of Transportation,,SL002-0054-77RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:54.77;Frequency:every 5 yrs or less;,0,137662,,,,,,-13546861.4359338,5730482.27091249
35,ODOT2011,LS_34,Oregon Department of Transportation,,SL002-0055-32RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;,," Hwy Name:Columbia River; Hwy Number:002;Mile Post:55.32;Frequency:1 to 2 times a yr;western half of long cut, observed rocks on road",157.825,294308,,,,,,-13545900.347347,5731255.65858861
36,ODOT2011,LS_35,Oregon Department of Transportation,,SL002-0055-47RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:55.47;Frequency:1 to 2 times a yr;,157.825,78530.2,,,,,,-13545604.6204102,5731421.88544336
37,ODOT2011,LS_36,Oregon Department of Transportation,,SL002-0057-48RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:57.48;Frequency:every 5 yrs or less;,251.08,112461,,,,,,-13541079.7294006,5732352.86859548
38,ODOT2011,LS_37,Oregon Department of Transportation,,SL002-0058-78RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:58.78;Frequency:2 times a yr;,432.15,3048680,,,,,,-13538300.8604099,5733102.66737144
39,ODOT2011,LS_38,Oregon Department of Transportation,,SL002-0060-30RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.3;Frequency:every 1 to 2 yrs;,367.19,148086,,,,,,-13534823.4289479,5733288.73497566
40,ODOT2011,LS_39,Oregon Department of Transportation,,SL002-0060-38RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.38;Frequency:every 1 to 2 yrs;,240.56,1168700,,,,,,-13534652.9904245,5733336.96657264
41,ODOT2011,LS_40,Oregon Department of Transportation,,SL002-0060-48LW1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.48;Frequency:every yr;,0,0,,,,,,-13534176.9997309,5733540.1995834
42,ODOT2011,LS_41,Oregon Department of Transportation,,SL002-0060-48RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.48;Frequency:every yr;,240.56,108998,,,,,,-13534425.8882934,5733416.4991701
43,ODOT2011,LS_42,Oregon Department of Transportation,,SL002-0060-58LW1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.58;Frequency:every yr;,0,0,,,,,,-13534383.155457,5733469.81384244
44,ODOT2011,LS_43,Oregon Department of Transportation,,SL002-0060-63RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.63;Frequency:every yr;,240.56,173132,,,,,,-13534116.8150594,5733512.14692588
45,ODOT2011,LS_44,Oregon Department of Transportation,,SL002-0061-11RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,," Hwy Name:Columbia River; Hwy Number:002;Mile Post:60.11;Frequency:every 5 yrs or less;site failed 2005-06, mitigated w/ cut and  hor drains",0,0,,,,,,-13533020.7142296,5733552.32911103
46,ODOT2011,LS_45,Oregon Department of Transportation,,SL002-0198-03RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF no ditch enter rd;Lanes Affected:2; Other Damage:Injury,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:198.03;Frequency:5 times or more a yr;,10914.4,0,,,,,,-13253254.8375105,5772621.11345768
47,ODOT2011,LS_46,Oregon Department of Transportation,,SL002-0198-31RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:198.31;Frequency:5 times or more a yr;,10038,410484,,,,,,-13252672.837699,5772929.95652431
48,ODOT2011,LS_47,Oregon Department of Transportation,,SL002-0199-46RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:199.46;Frequency:2 to 3 times a yr;,2384,273977,,,,,,-13250282.9631742,5774064.58148215
49,ODOT2011,LS_48,Oregon Department of Transportation,,SL002-0199-88RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:199.88;Frequency:2 to 3 times a yr;,1192,517185,,,,,,-13249405.6863236,5774487.12415333
50,ODOT2011,LS_49,Oregon Department of Transportation,,SL002-0200-33RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:200.33;Frequency:5 times or more a yr;gps on opposite side,4157.2,205431,,,,,,-13248547.9477954,5775052.45413317
51,ODOT2011,LS_50,Oregon Department of Transportation,,SL002-0201-11RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Property Damage,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:201.11;Frequency:5 times or more a yr;gps on opposite side of hwy,10038,790299,,,,,,-13247198.215029,5776267.38176708
52,ODOT2011,LS_51,Oregon Department of Transportation,,SL002-0201-74RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:201.74;Frequency:5 times or more a yr;gps on opposite side of hwy,6205.38,0,,,,,,-13246229.07134,5777366.9909272
53,ODOT2011,LS_52,Oregon Department of Transportation,,SL002-0202-22RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:202.22;Frequency:5 times or more a yr;,7004.7,3363410,,,,,,-13245693.7074558,5778352.06939218
54,ODOT2011,LS_53,Oregon Department of Transportation,,SL002-0202-85RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:202.85;Frequency:5 times or more a yr;,12088.2,434663,,,,,,-13244994.9850192,5779619.64861
55,ODOT2011,LS_54,Oregon Department of Transportation,,SL004-0069-92LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:69.92;Frequency:2 to 3 times a yr;,0,174007,,,,,,-13461205.3598912,5603208.74024531
56,ODOT2011,LS_55,Oregon Department of Transportation,,SL004-0069-92RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:69.92;Frequency:2 to 3 times a yr;,0,228169,,,,,,-13461224.4755874,5603212.44334406
57,ODOT2011,LS_56,Oregon Department of Transportation,,SL004-0070-38RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:70.38;Frequency:2 to 3 times a yr;old road above cut,0,258335,,,,,,-13461480.6485874,5602254.94110502
58,ODOT2011,LS_57,Oregon Department of Transportation,,SL004-0071-61LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:71.61;Frequency:5 times or more a yr;mostly small columnar basalt but blocky on southern end,0,266141,,,,,,-13461381.7698793,5599526.4447292
59,ODOT2011,LS_58,Oregon Department of Transportation,,SL004-0071-73RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:71.73;Frequency:2 to 3 times a yr;old road above cut,0,116635,,,,,,-13461384.8929621,5599258.78754563
60,ODOT2011,LS_59,Oregon Department of Transportation,,SL004-0072-13LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:3;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.13;Frequency:5 times or more a yr;,0,156092,,,,,,-13461513.4338994,5598362.26279661
61,ODOT2011,LS_60,Oregon Department of Transportation,,SL004-0072-24RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:3;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.24;Frequency:5 times or more a yr;,0,33939.4,,,,,,-13461574.8228269,5598114.81156942
62,ODOT2011,LS_61,Oregon Department of Transportation,,SL004-0072-68LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.68;Frequency:every yr;,0,194006,,,,,,-13461681.8660717,5597109.87017737
63,ODOT2011,LS_62,Oregon Department of Transportation,,SL004-0072-81RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.81;Frequency:every yr;,0,74250.1,,,,,,-13461783.5689622,5596843.45429673
64,ODOT2011,LS_63,Oregon Department of Transportation,,SL004-0072-94LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:3;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:72.94;Frequency:5 times or more a yr;,0,724556,,,,,,-13461865.8492833,5596554.60987855
65,ODOT2011,LS_64,Oregon Department of Transportation,,SL004-0076-37LN1,,0,0,0,0,,Landslide,,,0,0,,Road Impact:LS leaves 2-way traf;Lanes Affected:1;,," Hwy Name:Dalles-California; Hwy Number:4;Mile Post:76.37;Frequency:5 yrs or less;slide started1963 due to small cut made in slope,sliding and large cracks past top of hill and past our ROW, hwy moved a bitot the west and counterbalance put in at a later",0,0,,,,,,-13463713.0394176,5589439.18086242
66,ODOT2011,LS_65,Oregon Department of Transportation,,SL004-0078-56BB1,,0,0,0,0,,Fill Failure,,,0,0,,"Road Impact:LS leaves 2-way traf;Lanes Affected:3;Other Impact:Cattle Pass, dip in road;",," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:78.56;Frequency:every 5 yrs or less;no maintenance required yet but getting worse last couple years (2004, 2005); sight distance estimated by driving",0,0,,,,,,-13466368.9721746,5585399.12715967
67,ODOT2011,LS_66,Oregon Department of Transportation,,SL004-0079-99LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:79.99;Frequency:5 times or more a yr;,0,76129.3,,,,,,-13468077.338178,5583764.12948444
68,ODOT2011,LS_67,Oregon Department of Transportation,,SL004-0080-15LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:80.15;Frequency:1 to 2 times a yr;,0,80072.7,,,,,,-13468390.4796308,5583946.5686467
69,ODOT2011,LS_68,Oregon Department of Transportation,,SL004-0080-16RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:80.16;Frequency:1 to 2 times a yr;,0,152050,,,,,,-13468398.9516608,5583976.31960811
70,ODOT2011,LS_69,Oregon Department of Transportation,,SL004-0080-41RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF contain in ditch;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:80.41;Frequency:1 to 2 times a yr;,0,45519.6,,,,,,-13468907.9718144,5584222.00592542
71,ODOT2011,LS_70,Oregon Department of Transportation,,SL004-0241-43RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.63;Frequency:every yr;mitigated, no new history needed",0,0,,,,,,-13565234.9463168,5262181.18913832
72,ODOT2011,LS_71,Oregon Department of Transportation,,SL004-0241-62RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.62;Frequency:every yr;mitigated, no new history needed",0,0,,,,,,-13565323.6166539,5261767.31514212
73,ODOT2011,LS_72,Oregon Department of Transportation,,SL004-0241-80RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.8;Frequency:every yr;mitigated, no new history needed",0,0,,,,,,-13565522.309491,5261434.82066352
74,ODOT2011,LS_73,Oregon Department of Transportation,,SL004-0241-98RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:241.98;Frequency:every yr;mitigated, no new history needed",0,0,,,,,,-13565842.2913702,5261237.15783847
75,ODOT2011,LS_74,Oregon Department of Transportation,,SL004-0242-34RS1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,," Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:242.34;Frequency:every yr;mitigated, no new history needed",0,0,,,,,,-13566611.4557704,5261137.01658546
76,ODOT2011,LS_75,Oregon Department of Transportation,,SL004-0259-40LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Property Damage,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:259.4;Frequency:5 times or more a yr;,640.02,1168660,,,,,,-13564524.1089522,5225008.42318177
77,ODOT2011,LS_76,Oregon Department of Transportation,,SL004-0259-64LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Fatality,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:259.64;Frequency:2 times a yr;,11394.2,2055860,,,,,,-13564241.8677582,5224571.27692232
78,ODOT2011,LS_77,Oregon Department of Transportation,,SL004-0260-46LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Fatality,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:260.46;Frequency:5 times or more a yr;,3438.48,709650,,,,,,-13562975.9281103,5223308.89761269
79,ODOT2011,LS_78,Oregon Department of Transportation,,SL004-0260-93LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Injury,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:260.93;Frequency:5 times or more a yr;,2852.2,2489990,,,,,,-13562359.7129731,5222490.81138485
80,ODOT2011,LS_79,Oregon Department of Transportation,,SL004-0261-85LN1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:The Dalles-California; Hwy Number:004;Mile Post:261.85;Frequency:every yr;,522.82,5567940,,,,,,-13561225.7824726,5220856.55360102
